episode_frame_index,trajectory_time_s,control_dt_s,x,y,z,yaw,yaw_rate,state_vx_flu,state_vy_flu,state_vz_flu,speed_world_mps,effective_target_world_x,effective_target_world_y,effective_target_world_z,goal_direction_flu_x,goal_direction_flu_y,goal_direction_flu_z,goal_distance_norm,target_velocity_flu_x,target_velocity_flu_y,target_velocity_flu_z,target_yaw_rate,hierarchical_mode,planner_status,planner_failure_reason,plan_valid,plan_terminal,plan_points_xy,macro_update_mask,macro_label_valid,macro_correction_type,macro_direction_token,macro_direction_flu_x,macro_direction_flu_y,macro_direction_flu_z,macro_distance_norm,min_observed_clearance_m,truth_minimum_clearance_m,truth_brake_risk,truth_brake_would_trigger,emergency_brake,local_corridor_blocked,fsm_state,effective_target_source,target_correction_active,observability_reason,scene_id,task_id,navigation_goal_world_x,navigation_goal_world_y,navigation_goal_world_z,original_navigation_goal_world_x,original_navigation_goal_world_y,original_navigation_goal_world_z,episode_valid,failure_taxonomy
0,0.033333,0.033333,-3.6663809765968836e-08,9.0,2.000577688217163,0.7718112107815323,0.0,1.1457730998529409e-05,-6.486496690074344e-06,0.030689547453669773,0.030689550277990186,0.0,15.0,2.0,0.7166486451036137,-0.6974343836312881,0.0,0.9,0.06234470754861832,-0.034740738570690155,0.004245443735271692,-0.4202151298522949,local_avoidance,SAFE_PROGRESSING,NONE,1,0,"0.000,9.000;-0.287,9.410;-0.574,9.819;-0.860,10.229;-1.147,10.638;-1.434,11.048;-1.721,11.457",1,1,PASS_THROUGH,-1,0.7166486451036137,-0.6974343836312881,0.0,0.9,1.7564168070250297,2.0000000000000004,0.0,0,0,1,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,3,0.0,15.0,2.0,0.0,15.0,2.0,1,
1,0.066667,0.033333,-1.9116614566883072e-06,9.00000286102295,2.001804828643799,0.7717610452605167,-0.004397262819111347,0.0002563793051861619,-8.420646665066704e-05,0.0402312873489974,0.040232192369230285,0.0,15.0,2.0,0.7166836237776639,-0.6973984328479768,-9.628136908091193e-05,0.9,0.11159339547157288,-0.02081139013171196,-0.002649863250553608,-0.6745343804359436,local_avoidance,SAFE_PROGRESSING,NONE,1,0,"-0.000,9.000;-0.287,9.410;-0.574,9.819;-0.860,10.229;-1.147,10.638;-1.434,11.048;-1.721,11.457",0,1,PASS_THROUGH,-1,0.7166486451036137,-0.6974343836312881,0.0,0.9,1.7564168038938988,1.9999971389776596,0.0,0,0,1,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,3,0.0,15.0,2.0,0.0,15.0,2.0,1,
2,0.1,0.033333,-3.1725929147796705e-05,9.000038146972656,2.0031533241271973,0.7713926398329153,-0.01967288926243782,0.0023793228037066985,-5.857142748321416e-05,0.03995659837841818,0.04002742012159372,0.0,15.0,2.0,0.7169402535376821,-0.6971345511260607,-0.00030080490379246334,0.9,0.15537548065185547,-0.005125764291733503,-0.0042649805545806885,-0.8071287870407104,local_avoidance,SAFE_PROGRESSING,NONE,1,0,"-0.000,9.000;-0.287,9.410;-0.574,9.819;-0.860,10.229;-1.147,10.638;-1.434,11.048;-1.721,11.457",0,1,PASS_THROUGH,-1,0.7166486451036137,-0.6974343836312881,0.0,0.9,1.7564137931971158,1.9999618531951016,0.0,0,0,1,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,3,0.0,15.0,2.0,0.0,15.0,2.0,1,
3,0.133333,0.033333,-0.00018806169100571424,9.00018310546875,2.0044498443603516,0.770309549462846,-0.048480622470378876,0.00946673965291111,0.0007785156967413615,0.0383289866587588,0.03948843456802741,0.0,15.0,2.0,0.7176913656816208,-0.6963611329013021,-0.0005255572900136937,0.9,0.19359314441680908,0.007183518260717392,-0.0005202065221965313,-0.8238006234169006,local_avoidance,SAFE_PROGRESSING,NONE,1,0,"-0.000,9.000;-0.287,9.410;-0.574,9.819;-0.860,10.229;-1.147,10.638;-1.434,11.048;-1.721,11.458",0,1,PASS_THROUGH,-1,0.7166486451036137,-0.6974343836312881,0.0,0.9,1.7563760902149304,1.999816900426143,0.0,0,0,1,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,3,0.0,15.0,2.0,0.0,15.0,2.0,1,
4,0.166667,0.033333,-0.000651522190310061,9.000561714172363,2.0056867599487305,0.7681173739120831,-0.0915772020816803,0.02389515306301051,0.003243280001919813,0.037800806818553995,0.04483746425935784,0.0,15.0,2.0,0.7191979831453259,-0.6948048006278154,-0.000741663156149198,0.9,0.21728116273880005,0.01224371138960123,0.0035373051650822163,-0.8091073036193848,local_avoidance,SAFE_PROGRESSING,NONE,1,0,"-0.000,9.000;-0.287,9.410;-0.574,9.819;-0.861,10.229;-1.147,10.639;-1.434,11.048;-1.721,11.458",0,1,PASS_THROUGH,-1,0.7166486451036137,-0.6974343836312881,0.0,0.9,1.7562183182186906,1.9994383565877456,0.0,0,0,1,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,3,0.0,15.0,2.0,0.0,15.0,2.0,1,
5,0.2,0.033333,-0.001640706555917859,9.001320838928223,2.0068576335906982,0.7644223832017595,-0.14816707372665405,0.04598073435244309,0.007697805826211056,0.03774154414459856,0.05998256663853816,0.0,15.0,2.0,0.7217067672866359,-0.6921982689757923,-0.0009478816331708551,0.9,0.2312992662191391,0.004236884880810976,0.005334588699042797,-0.8368731737136841,local_avoidance,SAFE_PROGRESSING,NONE,1,0,"-0.001,9.001;-0.287,9.410;-0.574,9.820;-0.861,10.229;-1.148,10.639;-1.434,11.049;-1.721,11.458",0,1,PASS_THROUGH,-1,0.7166486451036137,-0.6974343836312881,0.0,0.9,1.7558016071708133,1.9986796099223638,0.0,0,0,1,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,3,0.0,15.0,2.0,0.0,15.0,2.0,1,
6,0.233333,0.033333,-0.003339598421007395,9.00258731842041,2.007920265197754,0.7586919926517396,-0.21610486507415771,0.0738517385262986,0.013618203937880128,0.03691172027783205,0.08367801297664391,0.0,15.0,2.0,0.7255478351719601,-0.6881707869376283,-0.0011431898037876011,0.9,0.24295298755168915,-0.014365119859576225,0.005000734701752663,-0.9061744809150696,local_avoidance,SAFE_PROGRESSING,NONE,1,0,"-0.002,9.001;-0.288,9.411;-0.575,9.821;-0.862,10.230;-1.148,10.640;-1.435,11.050;-1.722,11.459",1,1,PASS_THROUGH,-1,0.7255483092754643,-0.6881712366173953,0.0,0.9,1.7549613352771969,1.997414542003118,0.0,0,0,1,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,3,0.0,15.0,2.0,0.0,15.0,2.0,1,
7,0.266667,0.033333,-0.005835534073412418,9.004459381103516,2.008820056915283,0.7502455611647836,-0.29202407598495483,0.10442021641259866,0.01951320003519849,0.03438512209124103,0.11165430216743627,0.0,15.0,2.0,0.7311410482241509,-0.6822250534719428,-0.0013206123179783041,0.9,0.2500669062137604,-0.035900406539440155,0.003635834204033017,-0.9871320724487305,local_avoidance,SAFE_PROGRESSING,NONE,1,0,"-0.003,9.003;-0.290,9.412;-0.576,9.822;-0.863,10.232;-1.150,10.642;-1.436,11.051;-1.723,11.461",0,1,PASS_THROUGH,-1,0.7255478351719601,-0.6881707869376283,-0.0011431898037876011,0.9,1.7535564870104654,1.9955463029164906,0.0,0,0,1,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,3,0.0,15.0,2.0,0.0,15.0,2.0,1,
8,0.3,0.033333,-0.009095733053982258,9.007003784179688,2.009521722793579,0.7386039995075855,-0.37093836069107056,0.1345841770114253,0.023457142101126385,0.03000100423516979,0.1398685042191907,0.0,15.0,2.0,0.7387527070427603,-0.6739749800253125,-0.0014711005652765302,0.9,0.2500777840614319,-0.05529727041721344,0.002409386681392789,-1.0606589317321777,local_avoidance,SAFE_PROGRESSING,NONE,1,0,"-0.006,9.004;-0.292,9.414;-0.579,9.824;-0.865,10.234;-1.151,10.644;-1.438,11.054;-1.724,11.464",0,1,PASS_THROUGH,-1,0.7255478351719601,-0.6881707869376283,-0.0011431898037876011,0.9,1.7514837839538853,1.9930100367814507,0.0,0,0,1,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,3,0.0,15.0,2.0,0.0,15.0,2.0,1,
9,0.333333,0.033333,-0.012983441352844238,9.01026439666748,2.0100207328796387,0.7238368910830681,-0.44789034128189087,0.16195060044677717,0.023953935481720322,0.024403005896206788,0.16552128173411534,0.0,15.0,2.0,0.7482632713409275,-0.6633999943188078,-0.0015888045755815532,0.9,0.2434704601764679,-0.07046657800674438,0.0019411947578191757,-1.1209380626678467,local_avoidance,SAFE_PROGRESSING,NONE,1,0,"-0.009,9.007;-0.295,9.417;-0.581,9.827;-0.868,10.237;-1.154,10.647;-1.440,11.057;-1.726,11.467",0,1,PASS_THROUGH,-1,0.7255478351719601,-0.6881707869376283,-0.0011431898037876011,0.9,1.7486823098572033,1.9897637946137863,0.0,0,0,1,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,3,0.0,15.0,2.0,0.0,15.0,2.0,1,
10,0.366667,0.033333,-0.01729770377278328,9.01425838470459,2.010343313217163,0.7064513459052985,-0.5197323560714722,0.1850610776823542,0.020550487806700032,0.018566233995931276,0.1871219657518575,0.0,15.0,2.0,0.7592603000361858,-0.6507849091165945,-0.0016729779039656746,0.9,0.23206038773059845,-0.08097068965435028,0.0022572693414986134,-1.1684751510620117,local_avoidance,SAFE_PROGRESSING,NONE,1,0,"-0.013,9.010;-0.299,9.420;-0.585,9.831;-0.871,10.241;-1.157,10.651;-1.442,11.061;-1.728,11.471",0,1,PASS_THROUGH,-1,0.7255478351719601,-0.6881707869376283,-0.0011431898037876011,0.9,1.7401293616041436,1.9857917214472036,0.0,0,0,1,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,3,0.0,15.0,2.0,0.0,15.0,2.0,1,
11,0.4,0.033333,-0.02181915193796158,9.01896858215332,2.010530471801758,0.6870255593810384,-0.584658682346344,0.2033002210257835,0.013893971738447574,0.013253695373102243,0.20420500180172912,0.0,15.0,2.0,0.7712987312870062,-0.6364709586405255,-0.0017279821367730316,0.9,0.21479101479053497,-0.08561734110116959,0.0031830212101340294,-1.2007073163986206,local_avoidance,SAFE_PROGRESSING,NONE,1,0,"-0.017,9.014;-0.303,9.425;-0.589,9.835;-0.874,10.245;-1.160,10.656;-1.445,11.066;-1.731,11.477",0,1,PASS_THROUGH,-1,0.7255478351719601,-0.6881707869376283,-0.0011431898037876011,0.9,1.7360496522988196,1.9811112675611886,0.0,0,0,1,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,3,0.0,15.0,2.0,0.0,15.0,2.0,1,
12,0.433333,0.033333,-0.026348145678639412,9.02434253692627,2.0106260776519775,0.6659735932117106,-0.6414533853530884,0.21658631363590708,0.005362590818155842,0.00874912130638722,0.21682927790846962,0.0,15.0,2.0,0.7840553536449681,-0.6206884102361278,-0.0017606303451867462,0.9,0.19713924825191498,-0.08707362413406372,0.004407349042594433,-1.221968173980713,local_avoidance,SAFE_PROGRESSING,NONE,1,0,"-0.022,9.019;-0.307,9.430;-0.592,9.840;-0.878,10.251;-1.163,10.661;-1.448,11.072;-1.734,11.483",1,1,PASS_THROUGH,-1,0.7840565688627178,-0.6206893722492938,0.0,0.9,1.7312607919576362,1.9757741114417762,0.0,0,0,1,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,3,0.0,15.0,2.0,0.0,15.0,2.0,1,
13,0.466667,0.033333,-0.03072739765048027,9.030281066894531,2.0106682777404785,0.6435320034113248,-0.6894338726997375,0.22512743865944723,-0.003498539940515131,0.005042100111709808,0.22521107031541557,0.0,15.0,2.0,0.7973267949236674,-0.6035452096368981,-0.0017782072727829733,0.9,0.18099172413349152,-0.0855947881937027,0.0055954232811927795,-1.2284249067306519,local_avoidance,SAFE_PROGRESSING,NONE,1,0,"-0.026,9.024;-0.311,9.435;-0.596,9.846;-0.881,10.257;-1.166,10.668;-1.451,11.079;-1.736,11.489",0,1,PASS_THROUGH,-1,0.7840553536449681,-0.6206884102361278,-0.0017606303451867462,0.9,1.725819541572902,1.9698778955727212,0.0,0,0,1,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,3,0.0,15.0,2.0,0.0,15.0,2.0,1,
14,0.5,0.033333,-0.034848958253860474,9.036657333374023,2.0106871128082275,0.6198400483239965,-0.7283003926277161,0.22936884501425567,-0.011476735195998027,0.0021882929650814706,0.2296662168017615,0.0,15.0,2.0,0.8109693061685308,-0.5850859688497423,-0.0017870388048364745,0.9,0.16754107177257538,-0.08282952755689621,0.00690073799341917,-1.2202180624008179,local_avoidance,SAFE_PROGRESSING,NONE,1,0,"-0.031,9.030;-0.315,9.441;-0.600,9.852;-0.885,10.263;-1.169,10.674;-1.454,11.086;-1.739,11.497",0,1,PASS_THROUGH,-1,0.7840553536449681,-0.6206884102361278,-0.0017606303451867462,0.9,1.7238500986317338,1.9635475717014113,0.0,0,0,1,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,3,0.0,15.0,2.0,0.0,15.0,2.0,1,
15,0.533333,0.033333,-0.03864949196577072,9.043331146240234,2.010706663131714,0.5950565451915486,-0.7578138709068298,0.22997392932467653,-0.017947766054805907,0.0003894359454293927,0.23067354017256717,0.0,15.0,2.0,0.824825584732558,-0.5653844206768645,-0.0017921011356765422,0.9,0.1593213677406311,-0.08108969032764435,0.008397731930017471,-1.2013765573501587,local_avoidance,SAFE_PROGRESSING,NONE,1,0,"-0.035,9.037;-0.319,9.448;-0.604,9.859;-0.888,10.270;-1.172,10.682;-1.457,11.093;-1.741,11.504",0,1,PASS_THROUGH,-1,0.7840553536449681,-0.6206884102361278,-0.0017606303451867462,0.9,1.8134059613534432,1.9569214555044065,0.0,0,0,1,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,3,0.0,15.0,2.0,0.0,15.0,2.0,1,
16,0.566667,0.033333,-0.04209877923130989,9.050178527832031,2.010748863220215,0.5694172173147445,-0.7779993414878845,0.22782940152319453,-0.022924008699481708,-0.00016219780930920623,0.22897985212983316,0.0,15.0,2.0,0.8386981248906309,-0.5445936326438198,-0.0017973838622056535,0.9,0.15618765354156494,-0.08099432289600372,0.009995393455028534,-1.1742420196533203,local_avoidance,SAFE_PROGRESSING,NONE,1,0,"-0.039,9.043;-0.323,9.455;-0.607,9.866;-0.891,10.278;-1.175,10.689;-1.459,11.100;-1.743,11.512",0,1,PASS_THROUGH,-1,0.7840553536449681,-0.6206884102361278,-0.0017606303451867462,0.9,1.8067045085398623,1.9501218661058681,0.0,0,0,1,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,3,0.0,15.0,2.0,0.0,15.0,2.0,1,
17,0.6,0.033333,-0.045186419039964676,9.057099342346191,2.010830879211426,0.5432252010115252,-0.7892827391624451,0.22400829314788392,-0.026911309014996023,0.0005522058440579889,0.22561967751777126,0.0,15.0,2.0,0.8523659099590306,-0.5229427234041594,-0.001806537670438675,0.9,0.15553736686706543,-0.08175677061080933,0.01166191790252924,-1.1385393142700195,local_avoidance,SAFE_PROGRESSING,NONE,1,0,"-0.042,9.050;-0.326,9.462;-0.610,9.873;-0.894,10.285;-1.178,10.697;-1.462,11.108;-1.745,11.520",0,1,PASS_THROUGH,-1,0.7840553536449681,-0.6206884102361278,-0.0017606303451867462,0.9,1.7998388152738887,1.9432475419653161,0.0,0,0,1,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,3,0.0,15.0,2.0,0.0,15.0,2.0,1,
18,0.633333,0.033333,-0.04791026934981346,9.064041137695312,2.010965585708618,0.5168013074482065,-0.7922413945198059,0.21959055107768716,-0.03062256974411749,0.0023081645365311066,0.2217274893283721,0.0,15.0,2.0,0.8656207783591772,-0.5006968611892316,-0.0018224346636814175,0.9,0.15604008734226227,-0.0841309055685997,0.013365153223276138,-1.10016930103302,local_avoidance,SAFE_PROGRESSING,NONE,1,0,"-0.045,9.057;-0.329,9.469;-0.613,9.881;-0.896,10.292;-1.180,10.704;-1.464,11.116;-1.747,11.528",1,1,PASS_THROUGH,-1,0.8656222158420983,-0.5006976926655601,0.0,0.9,1.792907119394957,1.9363497467186375,0.0,0,0,1,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,3,0.0,15.0,2.0,0.0,15.0,2.0,1,
19,0.666667,0.033333,-0.05026834085583687,9.07098388671875,2.0111589431762695,0.4904335919833399,-0.7876978516578674,0.2154370576501792,-0.03471331137382463,0.004677716283653391,0.21826594059800786,0.0,15.0,2.0,0.8782970101833788,-0.4781118588408499,-0.001847251657223652,0.9,0.1568978726863861,-0.08866652846336365,0.014875792898237705,-1.0667099952697754,local_avoidance,SAFE_PROGRESSING,NONE,1,0,"-0.048,9.064;-0.331,9.476;-0.615,9.888;-0.898,10.300;-1.182,10.712;-1.465,11.123;-1.749,11.535",0,1,PASS_THROUGH,-1,0.8656207783591772,-0.5006968611892316,-0.0018224346636814175,0.9,1.785960084889595,1.9294474390153513,0.0,0,0,1,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,3,0.0,15.0,2.0,0.0,15.0,2.0,1,
20,0.7,0.033333,-0.05225392058491707,9.07793140411377,2.0114104747772217,0.4643481180937038,-0.7770649194717407,0.21204643932199466,-0.0396479391346397,0.00712694876510527,0.21583893278428914,0.0,15.0,2.0,0.8902831705952399,-0.455403485009158,-0.00188201923488383,0.9,0.1536603420972824,-0.09208136051893234,0.016082987189292908,-1.0254466533660889,local_avoidance,SAFE_PROGRESSING,NONE,1,0,"-0.050,9.071;-0.334,9.483;-0.617,9.895;-0.900,10.307;-1.183,10.719;-1.467,11.131;-1.750,11.543",0,1,PASS_THROUGH,-1,0.8656207783591772,-0.5006968611892316,-0.0018224346636814175,0.9,1.779016133519071,1.9225357741661644,0.0,0,0,1,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,3,0.0,15.0,2.0,0.0,15.0,2.0,1,
21,0.733333,0.033333,-0.05385381728410721,9.084914207458496,2.011713981628418,0.4387116960275263,-0.7614097595214844,0.20942989927011138,-0.04560088203819765,0.009231880767889732,0.21453566317389552,0.0,15.0,2.0,0.9015148565590458,-0.4327438633378194,-0.0019266932246388572,0.9,0.14255736768245697,-0.090989850461483,0.017503995448350906,-0.9578379392623901,local_avoidance,SAFE_PROGRESSING,NONE,1,0,"-0.052,9.078;-0.335,9.490;-0.619,9.902;-0.902,10.314;-1.185,10.726;-1.468,11.138;-1.751,11.550",0,1,PASS_THROUGH,-1,0.8656207783591772,-0.5006968611892316,-0.0018224346636814175,0.9,1.772070029283325,1.915583202639465,0.0,0,0,1,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,3,0.0,15.0,2.0,0.0,15.0,2.0,1,
22,0.766667,0.033333,-0.055050626397132874,9.091941833496094,2.012068271636963,0.41367851475278455,-0.7402141690254211,0.20700064228788934,-0.05235037397001999,0.010821578422620702,0.21379180087635866,0.0,15.0,2.0,0.9119489231620348,-0.41029896425673007,-0.0019802710571864136,0.9,0.1302056759595871,-0.08983223885297775,0.019391776993870735,-0.8862259984016418,local_avoidance,SAFE_PROGRESSING,NONE,1,0,"-0.054,9.085;-0.337,9.497;-0.620,9.909;-0.903,10.321;-1.186,10.734;-1.469,11.146;-1.752,11.558",0,1,PASS_THROUGH,-1,0.8656207783591772,-0.5006968611892316,-0.0018224346636814175,0.9,1.7677024476655316,1.9085791842816962,0.0,0,0,1,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,3,0.0,15.0,2.0,0.0,15.0,2.0,1,
23,0.8,0.033333,-0.055828824639320374,9.098997116088867,2.012479066848755,0.3894359348161956,-0.712924063205719,0.20378558563096524,-0.05938355210619907,0.011955321977327111,0.21259797951835455,0.0,15.0,2.0,0.9215437450862355,-0.3882691769004195,-0.002042586964213625,0.9,0.11557098478078842,-0.08613672852516174,0.021664470434188843,-0.7963569164276123,local_avoidance,SAFE_PROGRESSING,NONE,1,0,"-0.055,9.092;-0.338,9.504;-0.621,9.916;-0.904,10.329;-1.187,10.741;-1.470,11.153;-1.753,11.565",0,1,PASS_THROUGH,-1,0.8656207783591772,-0.5006968611892316,-0.0018224346636814175,0.9,1.8580650308691742,1.9015400376560923,0.0,0,0,1,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,3,0.0,15.0,2.0,0.0,15.0,2.0,1,
24,0.833333,0.033333,-0.05618129298090935,9.106019020080566,2.012955665588379,0.3661784180263633,-0.6795212030410767,0.19883149000603445,-0.06611649159018974,0.01287508778261987,0.20993122627095184,0.0,15.0,2.0,0.9302712890943123,-0.36686626581919435,-0.0021146372471042294,0.9,0.10175977647304535,-0.08040527999401093,0.024351637810468674,-0.6901807188987732,local_avoidance,SAFE_PROGRESSING,NONE,1,0,"-0.056,9.099;-0.339,9.511;-0.622,9.924;-0.905,10.336;-1.187,10.748;-1.470,11.160;-1.753,11.573",1,1,PASS_THROUGH,-1,0.9302733690440177,-0.3668670860781773,0.0,0.9,1.8510120613988474,1.8945262565429344,0.0,0,0,1,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,3,0.0,15.0,2.0,0.0,15.0,2.0,1,
25,0.866667,0.033333,-0.05611460655927658,9.112918853759766,2.013509750366211,0.34409273160049114,-0.639822781085968,0.19153341086674866,-0.07203419231725883,0.01396631682556079,0.20510736297540008,0.0,15.0,2.0,0.9381214736600821,-0.3462993927188867,-0.00219801282208815,0.9,0.09277656674385071,-0.07630738615989685,0.027265986427664757,-0.5973115563392639,local_avoidance,SAFE_PROGRESSING,NONE,1,0,"-0.056,9.106;-0.339,9.518;-0.622,9.931;-0.905,10.343;-1.188,10.755;-1.471,11.167;-1.753,11.580",0,1,PASS_THROUGH,-1,0.9302712890943123,-0.36686626581919435,-0.0021146372471042294,0.9,1.843991340187788,1.8876264291014393,0.0,0,0,1,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,3,0.0,15.0,2.0,0.0,15.0,2.0,1,
26,0.9,0.033333,-0.055651601403951645,9.119595527648926,2.0141499042510986,0.3233779984775794,-0.5935670137405396,0.18189368663543215,-0.07684467586148869,0.015465382357013224,0.1980646245484909,0.0,15.0,2.0,0.9450930389460035,-0.3267933323604267,-0.002294702720543545,0.9,0.0865493044257164,-0.07140006870031357,0.02957930602133274,-0.5043528079986572,local_avoidance,SAFE_PROGRESSING,NONE,1,0,"-0.056,9.113;-0.339,9.525;-0.622,9.938;-0.905,10.350;-1.188,10.762;-1.470,11.174;-1.753,11.587",0,1,PASS_THROUGH,-1,0.9302712890943123,-0.36686626581919435,-0.0021146372471042294,0.9,1.8370913222495806,1.8809420377853656,0.0,0,0,1,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,3,0.0,15.0,2.0,0.0,15.0,2.0,1,
27,0.933333,0.033333,-0.05482941493391991,9.125960350036621,2.014871120452881,0.30424643310266647,-0.542031466960907,0.17051838362535182,-0.08050923941489188,0.0171613029715238,0.1893482693479068,0.0,15.0,2.0,0.9511924796159029,-0.308588847962852,-0.002406166060291969,0.9,0.08420813083648682,-0.06615225225687027,0.030661970376968384,-0.4094247817993164,local_avoidance,SAFE_PROGRESSING,NONE,1,0,"-0.056,9.120;-0.339,9.532;-0.621,9.944;-0.904,10.356;-1.187,10.769;-1.470,11.181;-1.753,11.593",0,1,PASS_THROUGH,-1,0.9302712890943123,-0.36686626581919435,-0.0021146372471042294,0.9,1.8304131973413127,1.87456260573737,0.0,0,0,1,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,3,0.0,15.0,2.0,0.0,15.0,2.0,1,
28,0.966667,0.033333,-0.05369551479816437,9.1319580078125,2.0156519412994385,0.28688212159508497,-0.4866037666797638,0.15838053520316192,-0.08312643520827137,0.01867281914047308,0.1798417980791111,0.0,15.0,2.0,0.9564448180762023,-0.2919022117590727,-0.0025315499880168503,0.9,0.08378088474273682,-0.06209126114845276,0.03047570213675499,-0.32071807980537415,local_avoidance,SAFE_PROGRESSING,NONE,1,0,"-0.055,9.126;-0.338,9.538;-0.621,9.950;-0.904,10.363;-1.187,10.775;-1.470,11.187;-1.753,11.599",0,1,PASS_THROUGH,-1,0.9302712890943123,-0.36686626581919435,-0.0021146372471042294,0.9,1.8240460432475747,1.868544592168698,0.0,0,0,1,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,3,0.0,15.0,2.0,0.0,15.0,2.0,1,
29,1.0,0.033333,-0.05230310186743736,9.137566566467285,2.016463041305542,0.27142914770384197,-0.4283820390701294,0.14650966398802379,-0.08485587174010435,0.01979344649290486,0.17046225721468128,0.0,15.0,2.0,0.9608917409468763,-0.2769114447516298,-0.002667198089034245,0.9,0.0820293202996254,-0.06030397117137909,0.029652349650859833,-0.24739457666873932,local_avoidance,SAFE_PROGRESSING,NONE,1,0,"-0.054,9.132;-0.300,9.567;-0.546,10.003;-0.792,10.438;-1.038,10.873;-1.284,11.308;-1.530,11.744",0,1,PASS_THROUGH,-1,0.9302712890943123,-0.36686626581919435,-0.0021146372471042294,0.9,1.818045748100614,1.8629112413539546,0.0,0,0,1,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,3,0.0,15.0,2.0,0.0,15.0,2.0,1,
30,1.033333,0.033333,-0.05070488154888153,9.142804145812988,2.017282724380493,0.2579805643624676,-0.3690299093723297,0.13564615425751497,-0.08591278411377004,0.020607154110193333,0.16188125413263285,0.0,15.0,2.0,0.9645887833440453,-0.26374342380476334,-0.002808103736555054,0.9,0.07987550646066666,-0.060338571667671204,0.0289713516831398,-0.19809016585350037,local_avoidance,SAFE_PROGRESSING,NONE,1,0,"-0.052,9.138;-0.298,9.573;-0.545,10.008;-0.791,10.443;-1.037,10.878;-1.283,11.314;-1.529,11.749",1,1,PASS_THROUGH,-1,0.9645925864732062,-0.26374446367825494,0.0,0.9,1.8124348968350288,1.8576457328010996,0.0,0,0,1,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,3,0.0,15.0,2.0,0.0,15.0,2.0,1,
31,1.066667,0.033333,-0.04894597455859184,9.147700309753418,2.018099308013916,0.24654113422555973,-0.3114914894104004,0.12605322623654314,-0.08655818432385037,0.021059137580379087,0.15435421080654754,0.0,15.0,2.0,0.9676091780935766,-0.25243568026530894,-0.002950558940941788,0.9,0.07356619834899902,-0.06022556871175766,0.02800602652132511,-0.15876173973083496,local_avoidance,SAFE_PROGRESSING,NONE,1,0,"-0.051,9.143;-0.297,9.578;-0.543,10.013;-0.789,10.448;-1.036,10.883;-1.282,11.319;-1.528,11.754",0,1,PASS_THROUGH,-1,0.9645887833440453,-0.26374342380476334,-0.002808103736555054,0.9,1.8071959916535685,1.8527196201881178,0.0,0,0,1,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,3,0.0,15.0,2.0,0.0,15.0,2.0,1,
